Category,Quote,Author
status,"Far from rejecting outright any hierarchy of success or failure, philosophy instead reconfigures the judging process, lending legitimacy to theidea that themainstream value system may unfairly consign some people to disgrace and others to respectability.",Alain de Botton
values,"Far from rejecting outright any hierarchy of success or failure, philosophy instead reconfigures the judging process, lending legitimacy to theidea that themainstream value system may unfairly consign some people to disgrace and others to respectability.",Alain de Botton
feelings,"If one felt successful, there'd be so little incentive to be successful.",Alain de Botton
self-perception,"If one felt successful, there'd be so little incentive to be successful.",Alain de Botton
success,"If one felt successful, there'd be so little incentive to be successful.",Alain de Botton
art,"In a secularising world, art has replaced religion as a touchstone of our reverence and devotion.",Alain de Botton
religion,"In a secularising world, art has replaced religion as a touchstone of our reverence and devotion.",Alain de Botton
secularism,"In a secularising world, art has replaced religion as a touchstone of our reverence and devotion.",Alain de Botton
intimacy,Intimacy is the capacity to be rather weird with someone - and finding that that's ok with them.,Alain de Botton
relationships,Intimacy is the capacity to be rather weird with someone - and finding that that's ok with them.,Alain de Botton
weirdness,Intimacy is the capacity to be rather weird with someone - and finding that that's ok with them.,Alain de Botton
books,Most of what makes a book 'good' is that we are reading it at the right moment for us.,Alain de Botton
reading,Most of what makes a book 'good' is that we are reading it at the right moment for us.,Alain de Botton
right-moment,Most of what makes a book 'good' is that we are reading it at the right moment for us.,Alain de Botton
timing,Most of what makes a book 'good' is that we are reading it at the right moment for us.,Alain de Botton
authors,One kind of good book should leave you asking: how did the author know that about me?,Alain de Botton
